neutral,method,learner,budget,seed,gap,qualified,mean_partner_return,bits
0,inverse_gap,search,256,50012,0,1,0.90347826087,101101
0,inverse_gap,search,256,50013,0.0283719882909,0,0.686086956522,101111
0,inverse_gap,search,256,50014,0.0283719882909,0,0.809565217391,100101
0,inverse_gap,search,256,50015,0.0283719882909,0,0.799130434783,101001
0,inverse_gap,search,256,50016,0,1,0.90347826087,101101
0,inverse_gap,search,256,50017,0,1,0.90347826087,101101
0,inverse_gap,search,256,50018,0,1,0.90347826087,101101
0,inverse_gap,search,256,50019,0.0567439765819,0,0.764347826087,111001
0,inverse_gap,search,256,50020,0,1,0.90347826087,101101
0,inverse_gap,search,256,50021,0.0283719882909,0,0.809565217391,100101
0,inverse_gap,search,256,50022,0,1,0.90347826087,101101
0,inverse_gap,search,256,50023,0,1,0.90347826087,101101
0,inverse_gap,search,1024,50000,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50001,0.0283719882909,0,0.93347826087,001101
0,inverse_gap,search,1024,50002,0.0283719882909,0,0.907391304348,111101
0,inverse_gap,search,1024,50003,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50004,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50005,0.0283719882909,0,0.907391304348,111101
0,inverse_gap,search,1024,50006,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50007,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50008,0.0283719882909,0,0.93347826087,001101
0,inverse_gap,search,1024,50009,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50010,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50011,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50012,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50013,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50014,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50015,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50016,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50017,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50018,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50019,0.0283719882909,0,0.83347826087,101001
0,inverse_gap,search,1024,50020,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50021,0.0283719882909,0,0.862173913043,100101
0,inverse_gap,search,1024,50022,0,1,0.976956521739,101101
0,inverse_gap,search,1024,50023,0,1,0.976956521739,101101
0,inverse_gap,search,4096,50000,0,1,1,101101
0,inverse_gap,search,4096,50001,0,1,1,101101
0,inverse_gap,search,4096,50002,0,1,1,101101
0,inverse_gap,search,4096,50003,0,1,1,101101
0,inverse_gap,search,4096,50004,0,1,1,101101
0,inverse_gap,search,4096,50005,0,1,1,101101
0,inverse_gap,search,4096,50006,0,1,1,101101
0,inverse_gap,search,4096,50007,0,1,1,101101
0,inverse_gap,search,4096,50008,0,1,1,101101
0,inverse_gap,search,4096,50009,0,1,1,101101
0,inverse_gap,search,4096,50010,0,1,1,101101
0,inverse_gap,search,4096,50011,0,1,1,101101
0,inverse_gap,search,4096,50012,0,1,1,101101
0,inverse_gap,search,4096,50013,0,1,1,101101
0,inverse_gap,search,4096,50014,0,1,1,101101
0,inverse_gap,search,4096,50015,0,1,1,101101
0,inverse_gap,search,4096,50016,0,1,1,101101
0,inverse_gap,search,4096,50017,0,1,1,101101
0,inverse_gap,search,4096,50018,0,1,1,101101
0,inverse_gap,search,4096,50019,0,1,1,101101
0,inverse_gap,search,4096,50020,0,1,1,101101
0,inverse_gap,search,4096,50021,0,1,1,101101
0,inverse_gap,search,4096,50022,0,1,1,101101
0,inverse_gap,search,4096,50023,0,1,1,101101
0,inverse_gap,reinforce,256,50000,0.0567439765819,0,0.587391304348,001001
0,inverse_gap,reinforce,256,50001,0.0851159648728,0,0.539565217391,111011
0,inverse_gap,reinforce,256,50002,0.0851159648728,0,0.400434782609,111110
0,inverse_gap,reinforce,256,50003,0.0851159648728,0,0.400434782609,111110
0,inverse_gap,reinforce,256,50004,0.0851159648728,0,0.412608695652,110100
0,inverse_gap,reinforce,256,50005,0.0283719882909,0,0.564782608696,100101
0,inverse_gap,reinforce,256,50006,0.0851159648728,0,0.525652173913,000111
0,inverse_gap,reinforce,256,50007,0,1,0.596086956522,101101
0,inverse_gap,reinforce,256,50008,0.0851159648728,0,0.587391304348,011001
0,inverse_gap,reinforce,256,50009,0.0567439765819,0,0.551739130435,100001
0,inverse_gap,reinforce,256,50010,0.0567439765819,0,0.587391304348,001001
0,inverse_gap,reinforce,256,50011,0.0851159648728,0,0.543913043478,001011
0,inverse_gap,reinforce,256,50012,0.0567439765819,0,0.556956521739,001111
0,inverse_gap,reinforce,256,50013,0.113487953164,0,0.416956521739,010100
0,inverse_gap,reinforce,256,50014,0.113487953164,0,0.508260869565,110011
0,inverse_gap,reinforce,256,50015,0.113487953164,0,0.512608695652,000011
0,inverse_gap,reinforce,256,50016,0.0851159648728,0,0.435217391304,001000
0,inverse_gap,reinforce,256,50017,0.113487953164,0,0.403913043478,000000
0,inverse_gap,reinforce,256,50018,0.0567439765819,0,0.552608695652,111111
0,inverse_gap,reinforce,256,50019,0.0567439765819,0,0.443913043478,111100
0,inverse_gap,reinforce,256,50020,0.0851159648728,0,0.556956521739,011111
0,inverse_gap,reinforce,256,50021,0.0851159648728,0,0.569130434783,010101
0,inverse_gap,reinforce,256,50022,0.0567439765819,0,0.600434782609,011101
0,inverse_gap,reinforce,256,50023,0.0283719882909,0,0.583043478261,101001
0,inverse_gap,reinforce,1024,50000,0.0567439765819,0,0.588260869565,001001
0,inverse_gap,reinforce,1024,50001,0.0851159648728,0,0.56652173913,111011
0,inverse_gap,reinforce,1024,50002,0.0567439765819,0,0.592608695652,111111
0,inverse_gap,reinforce,1024,50003,0.0851159648728,0,0.41,111110
0,inverse_gap,reinforce,1024,50004,0.0851159648728,0,0.39,110100
0,inverse_gap,reinforce,1024,50005,0.0283719882909,0,0.572608695652,100101
0,inverse_gap,reinforce,1024,50006,0.0851159648728,0,0.550869565217,000111
0,inverse_gap,reinforce,1024,50007,0,1,0.614347826087,101101
0,inverse_gap,reinforce,1024,50008,0.0567439765819,0,0.614347826087,011101
0,inverse_gap,reinforce,1024,50009,0.0567439765819,0,0.54652173913,100001
0,inverse_gap,reinforce,1024,50010,0.0567439765819,0,0.588260869565,001001
0,inverse_gap,reinforce,1024,50011,0.0851159648728,0,0.56652173913,001011
0,inverse_gap,reinforce,1024,50012,0.0567439765819,0,0.592608695652,001111
0,inverse_gap,reinforce,1024,50013,0.141859941455,0,0.368260869565,010110
0,inverse_gap,reinforce,1024,50014,0.113487953164,0,0.524782608696,110011
