seed,dimension,epsilon,direct,balanced,coverage,error
76,3,0.217,0.0813763834854,0.0813763834854,0.0813763834854,1.38777878078e-17
77,4,0.413,0.0905084542381,0.0905084542381,0.0905084542381,1.66533453694e-16
78,5,0.071,0.0382901206279,0.0382901206279,0.0382901206279,1.38777878078e-17
79,6,0.217,0.0371287100911,0.0371287100911,0.0371287100911,9.71445146547e-17
80,3,0.413,0.115708364642,0.115708364642,0.115708364642,5.55111512313e-17
81,4,0.071,0.0497167100298,0.0497167100298,0.0497167100298,1.17961196366e-16
82,5,0.217,0.0218057506612,0.0218057506612,0.0218057506612,1.04083408559e-17
83,6,0.413,0.122540898178,0.122540898178,0.122540898178,1.66533453694e-16
84,3,0.071,0.066288943159,0.066288943159,0.066288943159,2.77555756156e-17
85,4,0.217,0.0401961817159,0.0401961817159,0.0401961817159,1.52655665886e-16
86,5,0.413,0.113983634366,0.113983634366,0.187213038824,1.11022302463e-16
87,6,0.071,0.0391169777169,0.0391169777169,0.0391169777169,6.24500451352e-17
88,3,0.217,0.0926179510309,0.0926179510309,0.0926179510309,8.32667268469e-17
89,4,0.413,0.147673794636,0.147673794636,0.147673794636,2.77555756156e-17
90,5,0.071,0.0576047915031,0.0576047915031,0.0576047915031,7.6327832943e-17
91,6,0.217,0.0419802439637,0.0419802439637,0.0419802439637,6.93889390391e-18
92,3,0.413,0.0574496357953,0.0574496357953,0.0574496357953,2.08166817117e-16
93,4,0.071,0.0919246505471,0.0919246505471,0.0919246505471,1.80411241502e-16
94,5,0.217,0.0463690088087,0.0463690088087,0.0463690088087,1.04083408559e-16
95,6,0.413,0.0772692781929,0.0772692781929,0.0772692781929,1.2490009027e-16
96,3,0.071,0.0625086767105,0.0625086767105,0.0625086767105,1.38777878078e-16
97,4,0.217,0.0705680727474,0.0705680727474,0.0705680727474,1.11022302463e-16
98,5,0.413,0.0482722643163,0.0482722643163,0.0482722643163,1.80411241502e-16
99,6,0.071,0.038980253736,0.038980253736,0.038980253736,1.11022302463e-16
100,3,0.217,0.129481926616,0.129481926616,0.129481926616,1.11022302463e-16
101,4,0.413,0.0930084232005,0.0930084232005,0.168256513887,1.38777878078e-17
102,5,0.071,0.012209911072,0.012209911072,0.012209911072,2.32452945781e-16
103,6,0.217,0.0146096464873,0.0146096464873,0.0146096464873,1.21430643318e-16
104,3,0.413,0.107224038583,0.107224038583,0.107224038583,1.66533453694e-16
105,4,0.071,0.0968114001435,0.0968114001435,0.0968114001435,9.71445146547e-17
106,5,0.217,0.0366187105282,0.0366187105282,0.0366187105282,5.55111512313e-17
107,6,0.413,0.0347562304877,0.0347562304877,0.0347562304877,9.71445146547e-17
108,3,0.071,0.10695995554,0.10695995554,0.10695995554,1.11022302463e-16
109,4,0.217,0.0427217895531,0.0427217895531,0.0427217895531,2.08166817117e-17
